id,email,ip_address,user_agent,timestamp,hour,day_of_week,ip_encoded,ua_encoded,anomaly
1,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",0,0,3,0,0,-1
2,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:36.617288,18,3,0,0,1
3,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:37.494325,18,3,0,0,1
4,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:38.272379,18,3,0,0,1
5,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:38.976597,18,3,0,0,1
6,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:39.556095,18,3,0,0,1
7,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:40.161257,18,3,0,0,1
8,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:40.703260,18,3,0,0,1
9,user@example.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:35:41.326467,18,3,0,0,1
10,user@examplle.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:36:54.934302,18,3,0,0,1
11,user@examplle.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:36:55.791094,18,3,0,0,1
12,user@examplle.com,187.120.55.33,curl/8.0,0,0,3,1,2,-1
13,user@examplle.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:36:57.256681,18,3,0,0,1
14,user@examplle.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:36:57.978188,18,3,0,0,1
15,user@examplle.com,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",2025-03-27 18:36:58.671109,18,3,0,0,1
